image_name,ctr,black_x,text,girl,headwear,poster,fun,skyblue
imgcontent.30secstomars-walkonwater_imgtemp.achalf,0.006590016825574874,0.01956947147846222,0.9065129160881042,0.0,0.0,0.7106531262397766,0.0,0.0
imgcontent.3lau-awalkobalt_imgtemp.merlinmachinet3,0.007315404452397242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.3lau-awolkobalt_imgtemp.merlinmachinet3,0.004591406260959953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.aboogiewitdahoodie-pressshot_imgtemp.pressshot,0.00950294812847643,0.15559999644756317,0.0,0.520861029624939,0.7499391138553619,0.0,0.0,0.0
imgcontent.adele-hello_imgtemp.achalf,0.0025985937022317334,0.04329114034771919,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.adele-sendmylove_imgtemp.achalf,0.006577080960970313,0.04506329074501991,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.adele-sendmylove_imgtemp.achalf8,0.007396043414534857,0.04506329074501991,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.adele-sendmylove_imgtemp.achalf8gradiant,0.0038335507269430216,0.04011741653084755,0.8574447631835938,0.0,0.0,0.0,0.0,0.01555772963911295
imgcontent.adele_imgtemp.3phones,0.004546262667310085,0.03679325059056282,0.8735429644584656,0.0,0.0,0.0,0.0,0.0
imgcontent.adele_imgtemp.adele-achalf8gradient,0.0029371291194595682,0.09443072974681854,0.0,0.0,0.0,0.0,0.0,0.00353909470140934
imgcontent.adele_imgtemp.avhalf,0.005988074740672259,0.14025317132472992,0.9163507223129272,0.0,0.24414703249931335,0.0,0.0,0.0
imgcontent.alberthammondjr-redbull_imgtemp.merlinmachinet3,0.01748999328742262,0.02227848011534661,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.badbunny-apple-music-bad-bunny_1200x627_imgtemp.upnext-pressshot,0.01064325228782521,0.0,0.8618107438087463,0.0,0.0,0.0,0.0,0.0
imgcontent.badbunny-apple-music-bad-bunny_800x800_imgtemp.upnext-pressshot,0.003722525812645175,0.0,0.8869426846504211,0.0,0.0,0.0,0.0,0.0
imgcontent.badbunny_apple_music_bad_bunny_1200x627_imgtemp.upnext-pressshot,0.01503020974522732,0.0,0.8618107438087463,0.0,0.0,0.0,0.0,0.0
imgcontent.bb-apple3groupphone_imgtemp.bb-lifestyle,0.006066600725354435,0.0903797447681427,0.0,0.8398769497871399,0.0,0.0,0.7726882696151733,0.0
imgcontent.bb-apple3groupphone_imgtemp.lifestyle,0.00467470769498166,0.0903797447681427,0.0,0.8398770093917847,0.0,0.0,0.7726882100105286,0.0
imgcontent.bb-guyholdingphoneairpod_imgtemp.bb-lifestyle,0.010206220719145613,0.40810126066207886,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.bb-is-ap-ww-170515-library-new_york-beach-peden_munk-a005007_imgtemp.bb-lifestyle,0.012337498147195508,0.014430379495024681,0.0,0.7858522534370422,0.0,0.0,0.7553292512893677,0.0
imgcontent.bb-library-nashville-skate-park-harkey-004441_imgtemp.bb-lifestyle,0.008636499338934619,0.14025317132472992,0.0,0.5685179829597473,0.1265093833208084,0.0,0.5806562900543213,0.0
imgcontent.bb-library-nashville-skate_park-harkey-004441_imgtemp.bb-lifestyle,0.006536871353684271,0.14025317132472992,0.0,0.5685178637504578,0.0,0.0,0.5806561708450317,0.0
imgcontent.bb-library-new-york-beach-peden-munk-a005007_imgtemp.bb-lifestyle-beach,0.006438860416395422,0.014430379495024681,0.0,0.7858522534370422,0.0,0.0,0.7553292512893677,0.0
imgcontent.bb-library-new_york-surf_lodge-peden_munk-b000613_imgtemp.bblifestyle,0.004617233705806053,0.030126582831144333,0.0,0.7930147647857666,0.0,0.0,0.0,0.0
imgcontent.bb-nashville-bbq-shaughnessey-029337_imgtemp.bb-lifestyle,0.00618933690205523,0.2137552760541439,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.bb-nashville-bbq-shaughnessey-1029337_imgtemp.bb-lifestyle,0.005856769895001676,0.2137552760541439,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.bb-nashville-bbq-shaughnessey_1029337_imgtemp.bb-lifestyle,0.008644014195860712,0.2137552760541439,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.bb-nashville-car-wash-shaughnessey-1001032_imgtemp.bb-lifestyle,0.005436659016808338,0.1695780623704195,0.0,0.0,0.03456971049308777,0.0,0.6681922078132629,0.0
imgcontent.bb-nashville-family-house-witt-002678 _imgtemp.bb-lifestyle,0.004332474798301124,0.013755274005234241,0.0,0.5325860977172852,0.0,0.0,0.0,0.0
imgcontent.bb-nashville-family-house-witt-002678_imgtemp.bb-lifestyle,0.010238239789125428,0.0,0.0,0.751966118812561,0.0,0.0,0.7246077656745911,0.0
imgcontent.bb-nashville-family-house-witt-002678_imgtemp.bb-lifestyle-dance,0.007743901391267491,0.013755274005234241,0.0,0.5325860977172852,0.0,0.0,0.0,0.0
imgcontent.bb-nashville-family-house-witt-002678_imgtemp.bblifestyle,0.004092897069485698,0.013755274005234241,0.0,0.5325860977172852,0.0,0.0,0.0,0.0
imgcontent.bb-nashville-family-house-witt-002678_imgtemp.lifestyle,0.005383788813683243,0.02759493701159954,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.bb-nashville-venue-harkey-006108_imgtemp.bb-lifestyle,0.004616243921671704,0.3200843967497349,0.0,0.6830488443374634,0.0,0.0,0.6128724813461304,0.0
imgcontent.bb-new-york-beach-peden-munk-a-005007_imgtemp.bb-lifestyle,0.01469350669767743,0.014430379495024681,0.0,0.7858522534370422,0.0,0.0,0.7553292512893677,0.0
imgcontent.bb-new-york-beach-peden-munk-a-005007_imgtemp.bb-lifestyle-beach,0.006696618816281307,0.014430379495024681,0.0,0.7858522534370422,0.0,0.0,0.7553292512893677,0.0
imgcontent.bb-new-york-house-product-pickup-peden-munk-a008938_imgtemp.bb-lifestyle,0.008557135821851615,0.169479605431358,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.bb-new-york-house_product_pickup-peden-munk-a008938_imgtemp.bb-lifestyle,0.007680948728808709,0.169479605431358,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.bb-new-york-prospect-park-2-peden-munk-b23367_imgtemp.bb-lifestyle,0.005653080777391271,0.0903797447681427,0.0,0.8398769497871399,0.0,0.0,0.7726881504058838,0.0
